A,B,C,D,E,Reponse,Reponse_preprocess,file
A. Des modes de vie nocifs,B. L’automédication,C. Le surpoids et l’obésité,D. La toxicomanie,"E. Les propositions A, B, C et D sont fausses",Réponse : AC,"['A', 'C']",data_txt/chapitre1
A. 20%,B. 8%,C. 11%,D. 15 %,"E. Les propositions A, B, C et D sont fausses",Réponse : C (j’espère que vous n’avez pas eu besoin de regarder la réponse grrr),['C'],data_txt/chapitre1
A. Lutter contre les menaces sanitaires transfrontières graves,B. Améliorer la couverture vaccinale dans les pays en développement,C. Promouvoir des principes et des normes de qualité,D. Répondre aux grands enjeux de santé mondiale,"E. Les propositions A, B, C et D sont fausses",Réponse : CD,"['C', 'D']",data_txt/chapitre1
A. L’éducation à la santé,B. La prévention,C. La promotion de la santé,D. L’alerte précoce en situation d’urgence,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/chapitre2
A. Les cancers,B. Les fractures,C. Les maladies cardiovasculaires,D. Les maladies respiratoires,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre2
A. Des incitations,B. Des obligations,C. Des récompenses,D. Des interdictions,"E. Les propositions A, B, C et D sont fausses",Réponse : ABD,"['A', 'B', 'D']",data_txt/chapitre2
A. La description des méfaits du tabagisme en milieu scolaire,B. La fixation d’un âge légal pour les acheteurs,C. L’information grand public sur les dangers du tabagisme,D. Le retrait du tabac des comptoirs en libre-service,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/chapitre2
A. La vente de cigarettes à l’unité,B. La promotion de la cigarette électronique,C. Les affichages de toutes formes de publicité,D. Les parrainages,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre2
A. L’interdiction des cigarettes avec des arômes caractérisants,B. L’augmentation rapide des prix du tabac,C. L’interdiction d’éléments trompeurs,D. L’harmonisation de la fiscalité indirecte au sein de l’Union,"E. Les propositions A, B, C et D sont fausses",Réponse : AC,"['A', 'C']",data_txt/chapitre2
A. Une surveillance douanière renforcée,B. L’instauration de mesures coercitives fortes,C. Un système de traçabilité et de sécurité,D. L’intervention du Parquet européen,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/chapitre2
A. 22,B. 18,C. 10,D. 14,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/chapitre2
A. La concentration et le volume maximum de nicotine,B. La pureté des ingrédients,C. Le mode d’emploi,D. L’inviolabilité pour être à l’épreuve des enfants,"E. Les propositions A, B, C et D sont fausses",Réponse : ABD,"['A', 'B', 'D']",data_txt/chapitre2
A. Les effets indésirables,B. La liste des ingrédients,C. L’origine des ingrédients,D. Les instructions d’utilisation,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/chapitre2
A. Les lieux de travail intérieurs,B. Les lieux publics intérieurs,C. Les terrasses couvertes des cafés et restaurants,D. Les transports en commun,"E. Les propositions A, B, C et D sont fausses",Réponse : ABD,"['A', 'B', 'D']",data_txt/chapitre2
A. La lutte contre l’alcool au volant,B. La fixation d’un taux légal à 0% g/l,C. L’interdiction de promotions directes et indirectes,D. L’interdiction de l’alcool aux femmes enceintes,"E. Les propositions A, B, C et D sont fausses",Réponse : A,['A'],data_txt/chapitre2
A. Les enfants à naître,B. Les sans domicile fixe,C. Les jeunes conducteurs,D. Les adolescents,"E. Les propositions A, B, C et D sont fausses",Réponse : A,['A'],data_txt/chapitre2
A. L’utilisation de la fiscalité,B. L’interdiction des boissons alcoolisées sur les lieux de travail,C. La lutte contre les marchés parallèles d’alcools,D. Le développement de boissons sans alcool,"E. Les propositions A, B, C et D sont fausses",Réponse : ABC,"['A', 'B', 'C']",data_txt/chapitre2
A. Une morbidité et une mortalité prématurée,B. Une propension à des tentatives de suicide,C. Une inclination aux féminicides,D. Une altération du développement du fœtus,"E. Les propositions A, B, C et D sont fausses",Réponse : AD,"['A', 'D']",data_txt/chapitre2
A. Les collectivités territoriales,B. La police de la circulation,C. Le secteur de la santé,D. Le secteur de l’éducation,"E. Les propositions A, B, C et D sont fausses",Réponse : ABC,"['A', 'B', 'C']",data_txt/chapitre2
A. Les troubles musculo-articulaires,B. Le diabète de type 2,C. L’infarctus,D. L’endométriose,"E. Les propositions A, B, C et D sont fausses",Réponse : B,['B'],data_txt/chapitre2
A. Des troubles musculo-articulaires à l’âge adulte,B. L’échec scolaire,C. Le manque de confiance en soi,D. Une diminution de l’espérance de vie,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/chapitre2
A. La suppression des pesticides,B. L’étiquetage des aliments,C. L’information des consommateurs,D. L’instauration du « Nutri-Score »,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/chapitre2
A. Du producteur au consommateur,B. Fruits et légumes à l’école,C. Distributions gratuites,D. De la ferme à l’assiette,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/chapitre2
A. Se nourrir correctement,B. Exercer une activité physique régulière,C. Surveiller régulièrement son poids,D. Privilégier les produits Bio,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/chapitre2
A. Recours abusif et inapproprié aux antimicrobiens,B. Forte progression d’infections émergentes,C. Manque de nouveaux traitements antimicrobiens,D. Prévention insuffisante contre les infections,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre3
A. L’encadrement de la délivrance par les pharmaciens,B. La surveillance de la résistance aux antimicrobiens dans les établissements de soins,C. La formation des professionnels de santé,D. L’interdiction des antimicrobiens en médecine vétérinaire,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/chapitre3
A. Réagir,B. Déceler,C. Évaluer,D. Faire connaître,"E. Les propositions A, B, C et D sont fausses",Réponse : BCD,"['B', 'C', 'D']",data_txt/chapitre3
A. La coordination de la recherche de nouveaux vaccins,B. La lutte contre les infections liées aux soins,C. La surveillance épidémiologique,D. La coopération étroite avec l’OMS,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/chapitre3
A. Les incitations à la vaccination,B. La supervision des laboratoires de production des vaccins,C. La diffusion de messages clairs et sérieux,D. Le partage des meilleures pratiques d’encouragement à la vaccination,"E. Les propositions A, B, C et D sont fausses",Réponse : CD,"['C', 'D']",data_txt/chapitre3
A. 50%,B. 80%,C. 75%,D. 65%,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/chapitre3
A. Le cancer du sein,B. Le cancer de la prostate,C. Le cancer colorectal,D. Le cancer du col de l’utérus,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre3
A. Le respect de l’autonomie des patients,B. Le meilleur accompagnement de la fin de vie,C. L’assistance aux aidants familiaux des malades,D. Le respect de la dignité des patients,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/chapitre3
A. 5.000,B. 2.500,C. 8.000,D. 6.000,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/chapitre3
A. Le Centre européen de prévention et de contrôle des maladies,B. Le Système d’alerte précoce et de réaction,C. Le Comité de Sécurité Sanitaire,"D. Le Comité scientifique des risques sanitaires, environnementaux et émergents","E. Les propositions A, B, C et D sont fausses",Réponse : B,['B'],data_txt/chapitre4
A. Au grand public,B. À l’Organisation mondiale de la Santé,C. Aux Agences régionales de santé,D. Aux professionnels de santé,"E. Les propositions A, B, C et D sont fausses",Réponse : AD,"['A', 'D']",data_txt/chapitre4
A. Les prélèvements sous surveillance médicale,B. La confiance dans la sécurité des transfusions,C. La garantie de qualité et de sécurité des transfusions,D. La surveillance des transferts transfrontaliers de sang,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/chapitre4
A. La démonstration des avantages du don pour les patients,B. Le contrôle permanent des établissements de transfusion,C. La prise en compte rapide des effets indésirables,D. L’accueil chaleureux des donneurs par les personnels,"E. Les propositions A, B, C et D sont fausses",Réponse : A,['A'],data_txt/chapitre4
A. La traçabilité du don,B. L’organisation de la pharmacovigilance,C. Les réactions indésirables,D. Les exclusions du don,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre4
A. L’identification de l’établissement,B. Le programme prévisionnel des collectes de sang,C. Les qualifications du personnel,D. Le descriptif d’accès des locaux en vue des contrôles,"E. Les propositions A, B, C et D sont fausses",Réponse : AC,"['A', 'C']",data_txt/chapitre4
A. La qualité des produits autorisés,B. La disponibilité pour tous des produits autorisés,C. La sécurité des produits autorisés,D. L’efficacité des produits autorisés,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre5
A. Un prix abordable des médicaments,B. Un contrôle strict des produits importés,C. L’obtention d’une autorisation de mise sur le marché,D. L’aide à la recherche de nouveaux médicaments,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/chapitre5
A. Des lignes directrices,B. Des Règlements,C. Des Décisions,D. Des Directives,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/chapitre5
A. L’innocuité des composants,B. L’origine des composants,C. L’hygiène des locaux de production,D. La qualité appropriée du produit,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/chapitre5
A. Par des examens du rapport bénéfice/risque,B. Par des contrôles inopinés,C. Par la pharmacovigilance,D. Par la vérification des compétences du personnel,"E. Les propositions A, B, C et D sont fausses",Réponse : AC,"['A', 'C']",data_txt/chapitre5
A. 2 ans,B. 7 ans,C. 10 ans,D. 15 ans,"E. Les propositions A, B, C et D sont fausses",Réponse : E,['E'],data_txt/chapitre5
A. Lisible,B. Sur les faces recto/verso,C. Compréhensible,D. Indélébile,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre5
A. Renouvelable ou non,B. Limitative,C. Spéciale,D. Restreinte,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/chapitre5
A. Lors de campagnes de vaccination autorisées,B. En cas de pandémie,C. Sur injonction de l’OMS,D. S’il n’y pas nécessité d’intervention médicale,"E. Les propositions A, B, C et D sont fausses",Réponse : AD,"['A', 'D']",data_txt/chapitre5
A. La Commission européenne,B. Le Bureau Europe de l’OMS,C. Le Conseil européen,D. Le Conseil de l’Europe,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/chapitre5
A. La Convention d’Oviedo,B. Le Code de Nuremberg,C. La Déclaration d’Helsinki,D. La Déclaration de Genève,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/chapitre5
A. La permanence,B. L’indépendance de fonctionnement,C. La personnalité juridique,D. Les ressources propres,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/institutions
A. Par leur faculté de faire pression sur les États,B. Par leur large périmètre d’intervention,C. Par leur rapidité de réaction,D. Par leur professionnalisme,"E. Les propositions A, B, C et D sont fausses",Réponse : A,['A'],data_txt/institutions
A. Yeux exorbités,B. Émaciation sévère,C. Œdèmes nutritionnels,D. Très faible rapport poids/taille,"E. Les propositions A, B, C et D sont fausses",Réponse : BCD,"['B', 'C', 'D']",data_txt/institutions
A. 4,B. 6,C. 7,D. 9,"E. Les propositions A, B, C et D sont fausses",Réponse : B,['B'],data_txt/institutions
A. Les incidents de dissémination de virus à partir de laboratoires de recherche,"B. Les contaminations par aliments, agents chimiques et matières radioactives",C. Les contaminations par maladies infectieuses nouvelles ou ré-émergentes,D. L’intense propagation de facteurs cancérigènes dans l’environnement,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/institutions
A. Des études épidémiologiques sur l’incidence du cancer,B. Des enquêtes au sujet de l’impact de l’environnement sur certains cancers,C. La classification des catégories de cancérogènes,D. Des monographies sur les dépistages des cancers,"E. Les propositions A, B, C et D sont fausses",Réponse : AC,"['A', 'C']",data_txt/institutions
A. La focalisation sur des produits à faible coût,B. L’homologation de produits pharmaceutiques de qualité,C. L’établissement d’une « short liste » de laboratoires sûrs,D. L’assurance de médicaments disponibles en quantité,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/institutions
A. La commande de vaccins aux laboratoires,B. La préparation des moyens d’action,C. La diffusion de messages d’avertissement sécurisés,D. La planification des interventions,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/institutions
A. La distribution de dispositifs individuels de protection,B. La vaccination en population générale,C. Les instructions pour les mises en quarantaine,D. La limitation des déplacements transfrontières,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/institutions
A. Confiance,B. Consentement,C. Confidentialité,D. Conseil,"E. Les propositions A, B, C et D sont fausses",Réponse : BCD,"['B', 'C', 'D']",data_txt/institutions
A. À diminuer la mortalité infantile dans le monde,B. À garantir l’achat de vaccins,C. À financer l’achat futur de vaccins non disponibles,D. À lutter contre des risques sanitaires graves,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/institutions
A. La pneumonie,B. Le paludisme,C. L’hépatite B,D. La diphtérie,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/institutions
A. 3,B. 4,C. 5,D. 6,"E. Les propositions A, B, C et D sont fausses",Réponse : C – QCM 10 du Livre Total UE 7,['C'],data_txt/institutions
A. Une organisation limitée à un rôle consultatif,B. Une organisation sans statut de sujet de droit international,C. Une organisation non fondée par un traité international,D. Une organisation non identifiée à un État,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/institutions
A. L’accessibilité à l’eau,B. La réadaptation par appareil orthopédique,C. La construction d’abris temporaires,D. Le déminage humanitaire,"E. Les propositions A, B, C et D sont fausses",Réponse : B,['B'],data_txt/institutions
A. La guerre de l’Ogaden (Éthiopie/Somalie).,B. Le génocide des tutsi (Rwanda),C. La Guerre du Biafra (Nigéria),D. Le secours en mer aux boat people (Viêt-Nam),"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/institutions
A. Le droit de révéler des atteintes aux Droits de l’Homme,B. Le soutien à la création de la Cour pénale internationale,C. L’adhésion au Code de conduite de la Croix Rouge,D. La reconnaissance du droit d’ingérence humanitaire,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/institutions
A. L’humanité,B. L’éthique,C. L’impartialité,D. L’indépendance,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/institutions
A. Agir sans remplacer,B. Travailler dans un esprit de compagnonnage,C. Respecter des règles rigoureuses d’éthique,D. Rendre effectif le droit à la santé pour tous,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/institutions
A. Un tissu d’établissements de soins publics et privés,B. Des institutions de prévention,C. Des organismes nationaux de promotion de la santé,D. Des organismes décentralisés de protection de la santé,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/institutions
A. Assurer un pilotage unifié de la santé publique en région,B. Accroître l’efficacité du système de soins,C. Intervenir dans des domaines touchant à l’environnement,D. Assurer la prévention et l’éducation à la santé des patients,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/institutions
A. Des travaux sur la sécurité des patients,B. Des travaux sur les maladies chroniques,C. Des travaux sur les maladies transmissibles,"D. Des travaux sur la prévention, l’éducation et la promotion de la santé","E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/institutions
A. Sa composition pluridisciplinaire,B. Son statut d’autorité indépendante,C. Sa procédure d’avis,D. L’implication des citoyens dans la réflexion éthique,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/institutions
A. L’autorisation d’échanges de cellules reproductives,B. L’information des couples sur les dons de gamètes,C. L’autorisation d’échanges de cellules souches embryonnaires,D. L’agrément des Centres pluridisciplinaires de diagnostic prénatal,"E. Les propositions A, B, C et D sont fausses",Réponse : AD,"['A', 'D']",data_txt/institutions
A. L’efficacité des traitements anticancéreux,B. La personnalisation des prises en charge,C. La prévention,D. Le dépistage,"E. Les propositions A, B, C et D sont fausses",Réponse : CD,"['C', 'D']",data_txt/institutions
A. Régionaux,B. Internationaux,C. Nationaux,D. Européens,"E. Les propositions A, B, C et D sont fausses",Réponse : BCD,"['B', 'C', 'D']",data_txt/institutions
A. Des unités de recherche,B. Des Instituts de recherche,C. Des unités INSERM,D. Des laboratoires internationaux associés,"E. Les propositions A, B, C et D sont fausses",Réponse : CD,"['C', 'D']",data_txt/institutions
A. 12,B. 15,C. 10,D. 9,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/institutions
A. La poliomyélite,B. Le SIDA,C. La cancérologie,D. Les listérioses,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/institutions
A. La maladie de Parkinson,B. L’hémiplégie,C. La maladie d’Alzheimer,D. La sclérose en plaques,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/institutions
A. 18 mois,B. 19 mois,C. 24 mois,D. 27 mois,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/institutions
A. Le socialisme,B. Le libéralisme,C. Le consumérisme,D. Le communisme,"E. Les propositions A, B, C et D sont fausses",Réponse : BD,"['B', 'D']",data_txt/economie
A. L’imposition,B. La rétribution,C. Le dédommagement,D. Le blocage des prix,"E. Les propositions A, B, C et D sont fausses",Réponse : BC,"['B', 'C']",data_txt/economie
A. La production,B. La consommation,C. L’exportation,D. L’importation,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/economie
A. Par des stratégies anti-dumping,B. Par la suppression des aides d’État,C. Par l’interdiction des monopoles,D. Par la création de services publics,"E. Les propositions A, B, C et D sont fausses",Réponse : CD,"['C', 'D']",data_txt/economie
A. Une grève générale,B. Une pénurie alimentaire,C. Une déflation,D. Un trouble total à l’ordre public,"E. Les propositions A, B, C et D sont fausses",Réponse : D,['D'],data_txt/economie
A. Le marché immobilier,B. Le marché boursier,C. Le marché des changes,D. Le marché des matières premières,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/economie
A. La modulation des tranches d’imposition,B. La fixation de minima sociaux,C. La mutualisation,D. Le blocage des loyers,"E. Les propositions A, B, C et D sont fausses",Réponse : C,['C'],data_txt/economie
A. La politique sociale,B. La politique budgétaire,C. La politique commerciale,D. La politique monétaire,"E. Les propositions A, B, C et D sont fausses",Réponse : BD – QCM 264 du Livre Total UE 7,"['B', 'D']",data_txt/economie
A. Agir sur les revenus de transfert,B. Agir sur le déficit budgétaire,C. Agir sur le financement des collectivités,D. Agir sur les programmes d’investissement,"E. Les propositions A, B, C et D sont fausses",Réponse : AD,"['A', 'D']",data_txt/economie
A. Des normes de sécurité environnementales et sanitaires,B. Des services publics d’intérêt général,C. Des mesures en faveur de la compétitivité,D. Des monopoles d’exercice de fonctions souveraines,"E. Les propositions A, B, C et D sont fausses",Réponse : ABD – QCM 265 du Livre Total UE 7,"['A', 'B', 'D']",data_txt/economie
A. Par des réductions d’impôts,B. Par la couverture collective des risques sociaux,C. Par la mutualisation des risques sociaux,D. Par des ajustements de prélèvements obligatoires,"E. Les propositions A, B, C et D sont fausses",Réponse : BC – QCM 266 du Livre Total UE 7 (du coup confirmé + dans le polycopié +++),"['B', 'C']",data_txt/economie
A. Des versements d’assistance aux personnes,B. Le remboursement de la dette,C. Le fonctionnement des institutions et agences étatiques,D. Les contributions aux engagements internationaux,"E. Les propositions A, B, C et D sont fausses",Réponse : A,['A'],data_txt/economie
A. Le minimum vieillesse,B. La prime à la naissance,C. L’allocation spécifique de solidarité,D. L’allocation logement,"E. Les propositions A, B, C et D sont fausses",Réponse : ACD,"['A', 'C', 'D']",data_txt/economie
A. Une forte baisse du taux de chômage,B. Un taux de croissance annuel de 2%,C. La suppression des mécanismes de solidarité,D. La diversification des sources de financement,"E. Les propositions A, B, C et D sont fausses",Réponse : E (comme Erwin J),['E'],data_txt/economie
A. L’éducation,B. La santé,C. Les transports,D. La sécurité,"E. Les propositions A, B, C et D sont fausses",Réponse : AB,"['A', 'B']",data_txt/economie
