,A,B,C,D,E,Question,Reponse,Reponse_preprocess,file
11,A. À diminuer la mortalité infantile dans le monde,B. À garantir l’achat de vaccins,C. À financer l’achat futur de vaccins non disponibles,D. À lutter contre des risques sanitaires graves,"E. Les propositions A, B, C et D sont fausses", À quoi sert une Garantie de Marché ?,Réponse : C,['C'],institutions
12,A. La pneumonie,B. Le paludisme,C. L’hépatite B,D. La diphtérie,"E. Les propositions A, B, C et D sont fausses"," Dans les pays en développement, contre quelles maladies un vaccin pentavalent assure-t-il une protection ?",Réponse : ACD,"['A', 'C', 'D']",institutions
13,A. 3,B. 4,C. 5,D. 6,"E. Les propositions A, B, C et D sont fausses"," En combien de catégories cancérogènes le Centre international de recherche contre le cancer (CIRC) a-t-il classifié les agents, mélanges et expositions ?",Réponse : C – QCM 10 du Livre Total UE 7,['C'],institutions
14,A. Une organisation limitée à un rôle consultatif,B. Une organisation sans statut de sujet de droit international,C. Une organisation non fondée par un traité international,D. Une organisation non identifiée à un État,"E. Les propositions A, B, C et D sont fausses", Comment l’Organisation des Nations Unies définit-elle une organisation non gouvernementale ?,Réponse : C,['C'],institutions
15,A. L’accessibilité à l’eau,B. La réadaptation par appareil orthopédique,C. La construction d’abris temporaires,D. Le déminage humanitaire,"E. Les propositions A, B, C et D sont fausses", Quels moyens de première intention Handicap International utilise-t-il pour réparer les traumatismes physiques et psychologiques subis par des sinistrés ?,Réponse : B,['B'],institutions
16,A. La guerre de l’Ogaden (Éthiopie/Somalie).,B. Le génocide des tutsi (Rwanda),C. La Guerre du Biafra (Nigéria),D. Le secours en mer aux boat people (Viêt-Nam),"E. Les propositions A, B, C et D sont fausses", À quelle occasion a été créé Médecins sans Frontières ?,Réponse : C,['C'],institutions
17,A. Le droit de révéler des atteintes aux Droits de l’Homme,B. Le soutien à la création de la Cour pénale internationale,C. L’adhésion au Code de conduite de la Croix Rouge,D. La reconnaissance du droit d’ingérence humanitaire,"E. Les propositions A, B, C et D sont fausses", Quelles actions marquantes sont à mettre à l’actif de Médecins du Monde ?,Réponse : BD,"['B', 'D']",institutions
18,A. L’humanité,B. L’éthique,C. L’impartialité,D. L’indépendance,"E. Les propositions A, B, C et D sont fausses", À quelles valeurs se réfère Médecins du Monde ?,Réponse : ACD,"['A', 'C', 'D']",institutions
19,A. Agir sans remplacer,B. Travailler dans un esprit de compagnonnage,C. Respecter des règles rigoureuses d’éthique,D. Rendre effectif le droit à la santé pour tous,"E. Les propositions A, B, C et D sont fausses", À quel leitmotiv se rattache Santé Sud (Association) ?,Réponse : D,['D'],institutions
20,A. Un tissu d’établissements de soins publics et privés,B. Des institutions de prévention,C. Des organismes nationaux de promotion de la santé,D. Des organismes décentralisés de protection de la santé,"E. Les propositions A, B, C et D sont fausses"," En termes d’« offre » de santé, de quels moyens dispose la politique sanitaire du système français ?",Réponse : ACD,"['A', 'C', 'D']",institutions
21,A. Assurer un pilotage unifié de la santé publique en région,B. Accroître l’efficacité du système de soins,C. Intervenir dans des domaines touchant à l’environnement,D. Assurer la prévention et l’éducation à la santé des patients,"E. Les propositions A, B, C et D sont fausses", Sur quels problèmes majeurs de santé publique portent les activités des Agences régionales de santé (ARS) ?,Réponse : AB,"['A', 'B']",institutions
22,A. Des travaux sur la sécurité des patients,B. Des travaux sur les maladies chroniques,C. Des travaux sur les maladies transmissibles,"D. Des travaux sur la prévention, l’éducation et la promotion de la santé","E. Les propositions A, B, C et D sont fausses", Quel profit les pouvoirs publics tirent-ils du Haut Conseil de la Santé Publique ?,Réponse : D,['D'],institutions
23,A. Sa composition pluridisciplinaire,B. Son statut d’autorité indépendante,C. Sa procédure d’avis,D. L’implication des citoyens dans la réflexion éthique,"E. Les propositions A, B, C et D sont fausses", Quelles particularités concernent le Conseil consultatif d’éthique pour les sciences de la vie et de la santé ?,Réponse : BD,"['B', 'D']",institutions
24,A. L’autorisation d’échanges de cellules reproductives,B. L’information des couples sur les dons de gamètes,C. L’autorisation d’échanges de cellules souches embryonnaires,D. L’agrément des Centres pluridisciplinaires de diagnostic prénatal,"E. Les propositions A, B, C et D sont fausses", Par quels instruments l’Agence de la Biomédecine intervient-elle en matière d’aide médicale à la procréation ?,Réponse : AD,"['A', 'D']",institutions
25,A. L’efficacité des traitements anticancéreux,B. La personnalisation des prises en charge,C. La prévention,D. Le dépistage,"E. Les propositions A, B, C et D sont fausses", Quels types d’activités assume l’Institut national du cancer (INCA) ?,Réponse : CD,"['C', 'D']",institutions
26,A. Régionaux,B. Internationaux,C. Nationaux,D. Européens,"E. Les propositions A, B, C et D sont fausses", À quels réseaux s’intègre l’Institut de Veille sanitaire (InVS) ?,Réponse : BCD,"['B', 'C', 'D']",institutions
27,A. Des unités de recherche,B. Des Instituts de recherche,C. Des unités INSERM,D. Des laboratoires internationaux associés,"E. Les propositions A, B, C et D sont fausses", Sous quelles formes l’Institut national de la santé et de la recherche médicale (INSERM) s’est-il fixé au niveau international ?,Réponse : CD,"['C', 'D']",institutions
28,A. 12,B. 15,C. 10,D. 9,"E. Les propositions A, B, C et D sont fausses", Combien de chercheurs de l’Institut Pasteur ont reçu le Prix Nobel de Médecine ?,Réponse : C,['C'],institutions
29,A. La poliomyélite,B. Le SIDA,C. La cancérologie,D. Les listérioses,"E. Les propositions A, B, C et D sont fausses"," Pour le traitement de quelle pathologie, l’Institut Curie occupe-t-il une place de pionnier ?",Réponse : C,['C'],institutions
30,A. La maladie de Parkinson,B. L’hémiplégie,C. La maladie d’Alzheimer,D. La sclérose en plaques,"E. Les propositions A, B, C et D sont fausses", A quelles grandes pathologies l’Institut du cerveau et de la moelle épinière (ICEM) consacre-t-il ses travaux scientifiques de recherche ?,Réponse : ACD,"['A', 'C', 'D']",institutions
31,A. 18 mois,B. 19 mois,C. 24 mois,D. 27 mois,"E. Les propositions A, B, C et D sont fausses", Quelle est la durée de formation des Directeurs d’Hôpitaux ?,Réponse : D,['D'],institutions
